# 已 ingest 的 raw 文件清单（append-only）
# 由 /art-ingest 维护，/art-scan 只读
# 列：raw_path	ingest_date	source_page
# 字段以单个 TAB 分隔。不要排序、不要去重、不要编辑历史行。
raw/002｜古希腊雕塑：为什么做得这么逼真？ - 得到APP.md	2026-05-13	来源/002｜古希腊雕塑：为什么做得这么逼真？.md
raw/发刊词｜我们都有搞懂艺术的权利 - 得到APP.md	2026-05-13	来源/发刊词｜我们都有搞懂艺术的权利.md
raw/001｜总导论：艺术到底属于谁？ - 得到APP.md	2026-05-13	来源/001｜总导论：艺术到底属于谁？.md
raw/003｜画得像和画得好是一回事吗？ - 得到APP.md	2026-05-13	来源/003｜画得像和画得好是一回事吗？.md
raw/004｜拜占庭艺术：程式化的艺术是怎么回事？ - 得到APP.md	2026-05-13	来源/004｜拜占庭艺术：程式化的艺术是怎么回事？.md
raw/005｜哥特艺术1：为什么说它是文艺复兴的前奏？ - 得到APP.md	2026-05-13	来源/005｜哥特艺术1：为什么说它是文艺复兴的前奏？.md
raw/006｜哥特艺术2：为什么在意大利发生了分化？ - 得到APP.md	2026-05-13	来源/006｜哥特艺术2：为什么在意大利发生了分化？.md
raw/007｜文艺复兴是怎么发生的？ - 得到APP.md	2026-05-13	来源/007｜文艺复兴是怎么发生的？.md
raw/008｜文艺复兴到底复兴了什么？ - 得到APP.md	2026-05-13	来源/008｜文艺复兴到底复兴了什么？.md
raw/009｜波蒂切利：如何解读“理念美”？ - 得到APP.md	2026-05-13	来源/009｜波蒂切利：如何解读“理念美”？.md
raw/010｜达芬奇：他为什么一生抑郁不得志？ - 得到APP.md	2026-05-13	来源/010｜达芬奇：他为什么一生抑郁不得志？.md
raw/011｜拉斐尔：为什么说他是“集大成者”？ - 得到APP.md	2026-05-13	来源/011｜拉斐尔：为什么说他是集大成者？.md
raw/012｜米开朗基罗：他为什么能被艺术史家“封神”？ - 得到APP.md	2026-05-13	来源/012｜米开朗基罗：他为什么能被艺术史家封神？.md
raw/013｜恩怨：文艺复兴三杰如何相互影响？ - 得到APP.md	2026-05-13	来源/013｜恩怨：文艺复兴三杰如何相互影响？.md
raw/014｜美第奇家族：甲方如何影响文艺复兴？ - 得到APP.md	2026-05-13	来源/014｜美第奇家族：甲方如何影响文艺复兴？.md
raw/015｜乔尔乔内：威尼斯画派创新在何处？ - 得到APP.md	2026-05-13	来源/015｜乔尔乔内：威尼斯画派创新在何处？.md
raw/016｜提香：为什么业界评价比达芬奇还高？ - 得到APP.md	2026-05-13	来源/016｜提香：为什么业界评价比达芬奇还高？.md
raw/017｜科雷乔：为什么他是文艺复兴最具现代性的画家？ - 得到APP.md	2026-05-13	来源/017｜科雷乔：为什么他是文艺复兴最具现代性的画家？.md
raw/018｜矫饰主义：过度追求形式有什么后果？ - 得到APP.md	2026-05-13	来源/018｜矫饰主义：过度追求形式有什么后果？.md
raw/019｜凡·艾克：什么是绘画的另一种可能性？ - 得到APP.md	2026-05-13	来源/019｜凡·艾克：什么是绘画的另一种可能性？.md
raw/020｜丢勒：为什么版画那么重要？ - 得到APP.md	2026-05-13	来源/020｜丢勒：为什么版画那么重要？.md
raw/021｜荷尔拜因：为什么要画那么多肖像画？ - 得到APP.md	2026-05-13	来源/021｜荷尔拜因：为什么要画那么多肖像画？.md
raw/022｜巴洛克：华丽等于没内涵吗？ - 得到APP.md	2026-05-13	来源/022｜巴洛克：华丽等于没内涵吗？.md
raw/023｜卡拉瓦乔：巴洛克的戏剧性从何而来？ - 得到APP.md	2026-05-13	来源/023｜卡拉瓦乔：巴洛克的戏剧性从何而来？.md
raw/024｜鲁本斯：都是巴洛克，为什么风格如此不同？ - 得到APP.md	2026-05-13	来源/024｜鲁本斯：都是巴洛克，为什么风格如此不同？.md
raw/025｜伦勃朗1：为什么他被称为荷兰最伟大的画家？ - 得到APP.md	2026-05-13	来源/025｜伦勃朗1：为什么他被称为荷兰最伟大的画家？.md
raw/026｜伦勃朗2：为什么荷兰收费最高的画家会破产？ - 得到APP.md	2026-05-13	来源/026｜伦勃朗2：为什么荷兰收费最高的画家会破产？.md
raw/027｜如何理解巴洛克艺术的全貌？ - 得到APP.md	2026-05-13	来源/027｜如何理解巴洛克艺术的全貌？.md
raw/028｜什么是洛可可？ - 得到APP.md	2026-05-13	来源/028｜什么是洛可可？.md
raw/029｜洛可可为什么那么香艳？ - 得到APP.md	2026-05-13	来源/029｜洛可可为什么那么香艳？.md
raw/030｜新古典主义：为什么绘画再次转向宏大叙事？ - 得到APP.md	2026-05-13	来源/030｜新古典主义：为什么绘画再次转向宏大叙事？.md
raw/031｜学院派为什么迅速没落？ - 得到APP.md	2026-05-13	来源/031｜学院派为什么迅速没落？.md
raw/032｜安格尔：为什么他是学院派最后一位大师？ - 得到APP.md	2026-05-13	来源/032｜安格尔：为什么他是学院派最后一位大师？.md
raw/033｜什么是浪漫主义绘画？ - 得到APP.md	2026-05-13	来源/033｜什么是浪漫主义绘画？.md
